word,class,level,meaning_vi
beyond,preposition,b2,ở bên kia
bias,noun,b2,sự thiên vị
bicycle,noun,a1,xe đạp
bid,noun,b2,sự đặt giá
bid,verb,b2,đặt giá
big,adjective,a1,lớn
bike,noun,a1,xe đạp
bill,noun,a1,cái kéo liềm
bill,verb,b2,chụm mỏ vào nhau
billion,number,a2,tỷ
bin,noun,a2,thùng
bind,verb,c1,ràng buộc
biography,noun,c1,tiểu sử
biological,adjective,b2,sinh học
biology,noun,a2,sinh học
bird,noun,a1,chim
birth,noun,a2,sinh
birthday,noun,a1,sinh nhật
biscuit,noun,a2,bánh quy
bishop,noun,c1,giám mục
bit,noun,a2,chút
bite,noun,b1,sự cắn
bite,verb,b1,cắn
bitter,adjective,b2,đắng
bizarre,adjective,c1,kỳ lạ
black,adjective,a1,đen
black,noun,a1,màu đen
blade,noun,c1,lưỡi dao
blame,noun,b2,sự khiển trách
blame,verb,b2,đổ thừa
blank,adjective,a2,để trống
blank,noun,a2,chỗ để trống
blanket,noun,b2,chăn
blast,noun,c1,luồng gió
blast,verb,c1,làm tàn
bleed,verb,c1,chảy máu
blend,noun,c1,thứ pha trộn
blend,verb,c1,trộn lẫn
bless,verb,c1,chúc phúc
blessing,noun,c1,phước lành
blind,adjective,b2,mù
block,noun,b1,khối
block,verb,b1,làm trở ngại
blog,noun,a1,blog
blonde,adjective,a1,tóc vàng
blood,noun,a2,máu
blow,noun,b2,cú đánh đòn
blow,verb,a2,nở hoa
blue,adjective,a1,xanh
blue,noun,a1,màu xanh
board,noun,a2,tấm ván
board,verb,b1,lót ván
boast,verb,c1,khoe khoang
boat,noun,a1,thuyền
body,noun,a1,cơ thể
boil,verb,a2,đun sôi
bold,adjective,b2,in đậm
bomb,noun,b1,quả bom
bomb,verb,b1,ném bom
bombing,noun,b2,vụ đánh bom
bond,noun,b2,trái phiếu
bone,noun,a2,xương
bonus,noun,c1,tiền thưởng
book,noun,a1,sách
book,verb,a2,viết vào vở
booking,noun,b2,đặt chỗ
boom,noun,c1,sự bùng nổ
boost,noun,b2,sự quảng cáo rùm
boost,verb,b2,nâng lên
boot,noun,a1,khởi động
border,noun,b1,bờ
border,verb,b2,viền
bored,adjective,a1,chán
boring,adjective,a1,nhàm chán
born,verb,a1,sinh ra
borrow,verb,a2,mượn
boss,noun,a2,ông chủ
both,determiner,a1,cả hai
both,pronoun,a1,cả hai
bother,verb,b1,làm phiền
bottle,noun,a1,cái chai
bottom,adjective,a2,cuối
bottom,noun,a2,phần dưới cùng
bounce,verb,c1,tung lên
bound,adjective,b2,ràng buộc
boundary,noun,c1,ranh giới
bow,noun,c1,cái cung
bow,verb,c1,kéo vĩ
bowl,noun,a2,cái bát
box,noun,a1,cái hộp
boy,noun,a1,cậu bé
boyfriend,noun,a1,bạn trai
brain,noun,a2,bộ não
branch,noun,b1,nhánh
brand,noun,b1,nhãn
brand,verb,b1,đóng nhãn
brave,adjective,b1,dũng cảm
breach,noun,c1,lỗ đạn
breach,verb,c1,vi phạm
bread,noun,a1,bánh mì
break,noun,a1,xe vực ngựa
break,verb,a1,làm gãy
breakdown,noun,c1,sự đổ vỡ
breakfast,noun,a1,bữa sáng
breakthrough,noun,c1,bước đột phá
breast,noun,b2,vú
breath,noun,b1,hơi thở
breathe,verb,b1,thở
breathing,noun,b1,hơi thở
breed,noun,c1,nòi
breed,verb,c1,gây giống
brick,noun,b2,gạch
bride,noun,b1,cô dâu
bridge,noun,a2,cây cầu
brief,adjective,b2,ngắn gọn
briefly,adverb,b2,ngắn gọn
bright,adjective,a2,tươi sáng
brilliant,adjective,a2,rực rỡ
bring,verb,a1,mang theo
broad,adjective,b2,rộng
broadband,noun,c1,băng thông rộng
broadcast,noun,b2,sự phát thanh
broadcast,verb,b2,tung ra khắp nơi
broadcaster,noun,b2,đài truyền hình
broadly,adverb,b2,một cách rộng rãi
broken,adjective,a2,bị hỏng
brother,noun,a1,anh trai
brown,adjective,a1,nâu
brown,noun,a1,màu nâu
browser,noun,c1,trình duyệt
brush,noun,a2,bàn chải
brush,verb,a2,chải
brutal,adjective,c1,tàn bạo
bubble,noun,b1,bong bóng
buck,noun,c1,đô la
buddy,noun,c1,bạn thân
budget,noun,b2,ngân sách
buffer,noun,c1,đệm
bug,noun,b2,lỗi
build,verb,a1,xây dựng
building,noun,a1,tòa nhà
bulk,noun,c1,số lượng lớn
bullet,noun,b2,viên đạn
bunch,noun,b2,bó
burden,noun,c1,gánh nặng
bureaucracy,noun,c1,bộ máy quan liêu
burial,noun,c1,chôn cất
burn,noun,b2,đốt cháy
burn,verb,a2,đốt cháy
burst,verb,c1,nổ tung
bury,verb,b1,chôn
bus,noun,a1,xe buýt
bush,noun,b2,bụi cây
business,noun,a1,kinh doanh
businessman,noun,a2,doanh nhân
busy,adjective,a1,bận
but,conjunction,a1,nhưng
but,preposition,b2,trừ ra
butter,noun,a1,bơ
button,noun,a2,nút
buy,verb,a1,mua
by,adverb,b1,gần
by,preposition,a1,gần
bye,exclamation,a1,tạm biệt
cabin,noun,b2,cabin
cabinet,noun,c1,tủ
cable,noun,b2,cáp
cafe,noun,a1,quán cà phê
cake,noun,a1,bánh
calculate,verb,b2,tính toán
calculation,noun,c1,tính toán
call,noun,a1,tiếng kêu
call,verb,a1,kêu gọi
calm,adjective,b1,êm đềm
calm,noun,b1,sự yên lặng
calm,verb,b1,làm dịu đi
camera,noun,a1,máy ảnh
camp,noun,a2,trại
camp,verb,a2,đóng trại
campaign,noun,b1,chiến dịch
campaign,verb,b1,đi chiến dịch
camping,noun,a2,cắm trại
campus,noun,b1,khuôn viên trường
can,noun,a2,bình
can,modal verb,a1,có thể
canal,noun,b2,con kênh
cancel,verb,b2,hủy bỏ
cancer,noun,b2,ung thư
candidate,noun,b1,ứng cử viên
candle,noun,b2,ngọn nến
cannot,modal verb,a1,không thể
canvas,noun,c1,vải
cap,noun,b1,mũ
capability,noun,c1,khả năng
capable,adjective,b2,có khả năng
capacity,noun,b2,năng lực
capital,adjective,a1,quan hệ đến sinh
capital,noun,a1,thủ đô
capitalism,noun,c1,chủ nghĩa tư bản
capitalist,adjective,c1,nhà tư bản
captain,noun,b1,thuyền trưởng
capture,noun,b2,sự bắt giữ
capture,verb,b2,bắt giữ
car,noun,a1,xe hơi
carbon,noun,b2,cacbon
card,noun,a1,thẻ
care,noun,a2,sự chăm sóc
care,verb,a2,trông nom
career,noun,a1,sự nghiệp
careful,adjective,a2,cẩn thận
carefully,adverb,a2,cẩn thận
careless,adjective,b1,bất cẩn
cargo,noun,c1,hàng hóa
carpet,noun,a2,thảm
carriage,noun,c1,vận chuyển
carrot,noun,a1,cà rốt
carry,verb,a1,mang
cartoon,noun,a2,phim hoạt hình
carve,verb,c1,khắc
case,noun,a2,trường hợp
cash,noun,a2,tiền mặt
casino,noun,c1,sòng bạc
cast,noun,b2,sự quăng
cast,verb,b2,quăng
castle,noun,a2,lâu đài
casual,adjective,b2,bình thường
casualty,noun,c1,tai nạn
cat,noun,a1,con mèo
catalogue,noun,c1,danh mục
catch,noun,b2,sự bắt
catch,verb,a2,bắt lấy
category,noun,b1,hạng mục
cater,verb,c1,phục vụ
cattle,noun,c1,gia súc
cause,noun,a2,nguyên nhân
cause,verb,a2,gây ra
caution,noun,c1,sự thận trọng
cautious,adjective,c1,thận trọng
cave,noun,b2,hang động
CD,noun,a1,cd
cease,verb,c1,chấm dứt
ceiling,noun,b1,trần
celebrate,verb,a2,ăn mừng
celebration,noun,b1,lễ kỷ niệm
celebrity,noun,a2,người nổi tiếng
cell,noun,b2,tế bào
cemetery,noun,c1,nghĩa trang
cent,noun,a1,xu
central,adjective,b1,trung tâm
centre,noun,a1,điểm giữa
centre,verb,b1,đặt vào giữa
century,noun,a1,thế kỷ
ceremony,noun,b1,buổi lễ
certain,adjective,a2,nhất định
certainly,adverb,a2,chắc chắn
certainty,noun,b2,sự chắc chắn
certificate,noun,b2,giấy chứng nhận
chain,noun,b1,dây
chain,verb,b2,xích lại
chair,noun,a1,ghế
chair,verb,b2,cử làm chủ tịch
chairman,noun,b2,chủ tịch
challenge,noun,b1,"tiếng hô ""đứng lại"
challenge,verb,b2,"hô ""đứng lại"
challenging,adjective,b2,đầy thử thách
chamber,noun,c1,buồng
champion,noun,b1,nhà vô địch
championship,noun,b2,chức vô địch
chance,noun,a2,cơ hội
change,noun,a1,sự đổi
change,verb,a1,đổi
channel,noun,b1,kênh
chaos,noun,c1,sự hỗn loạn
chapter,noun,b1,chương
character,noun,a2,nhân vật
characteristic,adjective,b2,riêng
characteristic,noun,b2,đặc tính
characterize,verb,c1,đặc trưng
charge,noun,b1,vật mang
charge,verb,b1,nạp đạn
charity,noun,a2,tổ chức từ thiện
charm,noun,c1,sự quyến rũ
charming,adjective,b2,quyến rũ
chart,noun,a1,bản đồ đi biển
chart,verb,b2,vẽ hải đồ
charter,noun,c1,điều lệ
chase,noun,b2,sự theo đuổi
chase,verb,b2,săn
chat,noun,a2,hội thoại
chat,verb,a2,bàn chuyện
cheap,adjective,a1,rẻ
cheap,adverb,b1,rẻ
cheat,noun,b1,trò lừa đảo
cheat,verb,b1,lừa
check,noun,a2,như cheque
check,verb,a1,cản
cheek,noun,b2,má
cheer,noun,b2,sự vui vẻ
cheer,verb,b2,làm vui mừng
cheerful,adjective,b1,vui vẻ
cheese,noun,a1,pho mát
chef,noun,a2,đầu bếp
chemical,adjective,b1,hoá học
chemical,noun,b1,hóa chất
chemistry,noun,a2,hóa học
chest,noun,b1,ngực
chicken,noun,a1,gà
chief,adjective,b2,đứng đầu
chief,noun,b2,thủ lĩnh
child,noun,a1,đứa trẻ
childhood,noun,b1,tuổi thơ
chip,noun,a2,chip
chocolate,noun,a1,sô cô la
choice,noun,a2,sự lựa chọn
choir,noun,b2,dàn hợp xướng
choose,verb,a1,chọn
chop,verb,b2,chặt
chronic,adjective,c1,mãn tính
chunk,noun,c1,khúc
church,noun,a2,nhà thờ
cigarette,noun,a2,thuốc lá
cinema,noun,a1,rạp chiếu phim
circle,noun,a2,đường tròn
circle,verb,a2,đi chung quanh
circuit,noun,b2,mạch
circulate,verb,c1,luân chuyển
circulation,noun,c1,sự tuần hoàn
circumstance,noun,b2,hoàn cảnh
cite,verb,b2,trích dẫn
citizen,noun,b2,công dân
citizenship,noun,c1,quyền công dân
city,noun,a1,thành phố
civic,adjective,c1,dân sự
civil,adjective,b2,dân sự
civilian,adjective,c1,thường dân
civilian,noun,c1,người thường
civilization,noun,b2,nền văn minh
claim,noun,b1,sự cho là
claim,verb,b1,đòi
clarify,verb,b2,làm rõ
clarity,noun,c1,sự rõ ràng
clash,noun,c1,xung đột
class,noun,a1,lớp
